Circuit: * D:\Code\PSPICE\Schematic\integrator.asc

Direct Newton iteration for .op point succeeded.
Heightened Def Con from 0.00518615 to 0.00518615
Heightened Def Con from 0.00518615 to 0.00518615
Heightened Def Con from 0.00518615 +to 0.00518615
Heightened Def Con from 0.00518615 to 0.00518615
Heightened Def Con from 0.00518615 to 0.00518615
Heightened Def Con from 0.00518615 to 0.00518615
Heightened Def Con from 0.00518615 to 0.00518615
Heightened Def Con from 0.00518615 ++to 0.00518615
Heightened Def Con from 0.00518615 to 0.00518615
Heightened Def Con from 0.00518615 +++to 0.00518615
Heightened Def Con from 0.00518615 to 0.00518615
Heightened Def Con from 0.00518615 +to 0.00518615
Heightened Def Con from 0.00518615 to 0.00518615
Heightened Def Con from 0.00518615 to 0.00518615
Heightened Def Con from 0.00518615 to 0.00518615
Heightened Def Con from 0.00518615 to 0.00518615
Heightened Def Con from 0.00518615 to 0.00518615
Heightened Def Con from 0.00518615 +to 0.00518615
Heightened Def Con from 0.00518615 to 0.00518615
Heightened Def Con from 0.00520717 +to 0.00520717
Heightened Def Con from 0.00520717 to 0.00520717
Heightened Def Con from 0.00520717 to 0.00520717
Heightened Def Con from 0.00520717 to 0.00520717
Heightened Def Con from 0.00520717 to 0.00520717
Heightened Def Con from 0.00524411 to 0.00524411
Heightened Def Con from 0.00524411 ++to 0.00524411
Heightened Def Con from 0.00524411 +to 0.00524411
Heightened Def Con from 0.00524411 +to 0.00524411
Heightened Def Con from 0.00524411 to 0.00524411
Heightened Def Con from 0.00524411 to 0.00524411
Heightened Def Con from 0.00524411 to 0.00524411
Heightened Def Con from 0.00524411 to 0.00524411
Heightened Def Con from 0.00524411 ++to 0.00524411
Heightened Def Con from 0.00524411 +to 0.00524411
Heightened Def Con from 0.00524411 +to 0.00524411
Heightened Def Con from 0.00524411 to 0.00524411
Heightened Def Con from 0.00524411 to 0.00524411
Heightened Def Con from 0.00524411 +to 0.00524411
Heightened Def Con from 0.00524411 to 0.00524411
Heightened Def Con from 0.00524411 to 0.00524411
Heightened Def Con from 0.00524411 +to 0.00524411
Heightened Def Con from 0.00524411 to 0.00524411
Heightened Def Con from 0.00524411 to 0.00524411
Heightened Def Con from 0.00524411 to 0.00524411
Heightened Def Con from 0.00524411 +to 0.00524411
Heightened Def Con from 0.00524411 to 0.00524411
Heightened Def Con from 0.00524411 to 0.00524411
Heightened Def Con from 0.00524411 +to 0.00524411
Heightened Def Con from 0.00526005 +to 0.00526005
Heightened Def Con from 0.00526005 ++to 0.00526005
Heightened Def Con from 0.00526005 to 0.00526005
Heightened Def Con from 0.00526005 to 0.00526005
Heightened Def Con from 0.00526005 ++to 0.00526005
Heightened Def Con from 0.00526005 to 0.00526005
Heightened Def Con from 0.00526005 to 0.00526005
Heightened Def Con from 0.00526005 +to 0.00526005
Heightened Def Con from 0.00526005 +to 0.00526005
Heightened Def Con from 0.00526005 to 0.00526005
Heightened Def Con from 0.00526005 to 0.00526005
Heightened Def Con from 0.00526005 +to 0.00526005
Heightened Def Con from 0.00526005 to 0.00526005
Heightened Def Con from 0.00526005 to 0.00526005
Heightened Def Con from 0.00526005 ++to 0.00526005
Heightened Def Con from 0.00526005 to 0.00526005
Heightened Def Con from 0.00526005 to 0.00526005
Heightened Def Con from 0.00526005 to 0.00526005
Heightened Def Con from 0.00526005 to 0.00526005
Heightened Def Con from 0.00526005 to 0.00526005
Heightened Def Con from 0.00526005 to 0.00526005
Heightened Def Con from 0.00526005 +to 0.00526005
Heightened Def Con from 0.00526005 to 0.00526005
Heightened Def Con from 0.00526005 to 0.00526005
Heightened Def Con from 0.00526005 to 0.00526005
Heightened Def Con from 0.00526005 to 0.00526005
Heightened Def Con from 0.00526005 to 0.00526005
Heightened Def Con from 0.00526005 to 0.00526005
Heightened Def Con from 0.00526005 +to 0.00526005
Heightened Def Con from 0.00526005 +to 0.00526005
Heightened Def Con from 0.00526005 +to 0.00526005
Heightened Def Con from 0.00526005 to 0.00526005
Heightened Def Con from 0.00526005 +to 0.00526005
Heightened Def Con from 0.00526005 to 0.00526005
Heightened Def Con from 0.00526005 to 0.00526005
Heightened Def Con from 0.00526005 +to 0.00526005
Heightened Def Con from 0.00526005 to 0.00526005
Heightened Def Con from 0.00526005 to 0.00526005
Heightened Def Con from 0.00526005 to 0.00526005
Heightened Def Con from 0.00526005 to 0.00526005
Heightened Def Con from 0.00526005 +to 0.00526005
Heightened Def Con from 0.00526005 to 0.00526005
Heightened Def Con from 0.00526005 to 0.00526005
Heightened Def Con from 0.00526005 to 0.00526005
Heightened Def Con from 0.00526005 +to 0.00526005
Heightened Def Con from 0.00526005 to 0.00526005
Heightened Def Con from 0.00526005 to 0.00526005
Heightened Def Con from 0.00526005 +to 0.00526005
Heightened Def Con from 0.00526005 to 0.00526005
Heightened Def Con from 0.00526005 to 0.00526005
Heightened Def Con from 0.00526005 to 0.00526005
Heightened Def Con from 0.00526005 to 0.00526005
Heightened Def Con from 0.00526005 +to 0.00526005
Heightened Def Con from 0.00526005 to 0.00526005
Heightened Def Con from 0.00526005 to 0.00526005
Heightened Def Con from 0.00526005 to 0.00526005
Heightened Def Con from 0.00526005 to 0.00526005
Heightened Def Con from 0.00526005 to 0.00526005
Heightened Def Con from 0.00526005 +to 0.00526005
Heightened Def Con from 0.00526005 to 0.00526005
Heightened Def Con from 0.00526005 to 0.00526005
Heightened Def Con from 0.00526005 to 0.00526005
Heightened Def Con from 0.00526005 to 0.00526005
Heightened Def Con from 0.00526005 to 0.00526005
Heightened Def Con from 0.00526005 +to 0.00526005
Heightened Def Con from 0.00526005 to 0.00526005
Heightened Def Con from 0.00526005 to 0.00526005
Heightened Def Con from 0.00526005 to 0.00526005
Heightened Def Con from 0.00526005 to 0.00526005
Heightened Def Con from 0.00526005 to 0.00526005
Heightened Def Con from 0.00526005 to 0.00526005
Heightened Def Con from 0.00526005 +to 0.00526005
Heightened Def Con from 0.00526005 ++to 0.00526005
Heightened Def Con from 0.00526005 to 0.00526005
Heightened Def Con from 0.00526005 to 0.00526005
Heightened Def Con from 0.00526005 to 0.00526005
Heightened Def Con from 0.00526005 +to 0.00526005
Heightened Def Con from 0.00526005 to 0.00526005
Heightened Def Con from 0.00526005 to 0.00526005
Heightened Def Con from 0.00526005 to 0.00526005
Heightened Def Con from 0.00526005 to 0.00526005
Heightened Def Con from 0.00526005 to 0.00526005
Heightened Def Con from 0.00526005 to 0.00526005
Heightened Def Con from 0.00526005 ++to 0.00526005
Heightened Def Con from 0.00526005 to 0.00526005
Heightened Def Con from 0.00526005 to 0.00526005
Heightened Def Con from 0.00526005 +to 0.00526005
Heightened Def Con from 0.00526005 to 0.00526005
Heightened Def Con from 0.00526005 ++to 0.00526005
Heightened Def Con from 0.00526005 +to 0.00526005
